Weapon Name,Damage Per Shot,Damage Per Second,Rate of Fire,Critical Chance Multiplier,Critical Hit Damage,Action Point Cost,Damage Per Action Point,Weapon Spread,Ammunition Type,Magazine Capacity,Weapon Durability in Shots Until Breaking,Weapon Weight,Weapon Value in Caps,Value to Weight Ratio,Skill Required,Strength Required,Dependency,Unique?,Secondary Effect,Secondary Effect Damage
Arc Welder,9,72,8,x0.36,1,30,0.9,0.5,ECP,30,1245,15,3700,247,75,7,Lonesome Road,F,EMP,4
Flamer,16,130,8,x0.42,1,50,1.6,0.5,Flamer fuel,60,995,15,2350,157,50,7,Main,F,Fire,10
Cleansing Flame,15,115,7,x1,1,55,4.1,1.5,Flamer fuel,100,1495,22,9500,432,50,7,Gun Runner's Arsenal,T,Fire,60
Gatling laser,10,300,30,x0.02,10,30,4,0.6,ECP,240,7495,18,6800,378,100,8,Main,F,NA,NA
Sprtel-Wood 9700,16,320,20,x0.04,16,30,4.3,0.5,ECP,90,4995,15,20000,1333,100,6,Gun Runner's Arsenal,T,NA,NA
Heavy Incinerator,15,148,4,x0.83,5,50,1.5,0.5,Flamer fuel,24,995,15,7200,480,100,8,Main,F,Explosive/Fire,20/40
Incinerator,1,46,2,x1.67,1,50,1.1,0.1,Flamer fuel,30,995,12,1300,108,25,6,Main,F,Explosive/Fire,20/32
Plasma caster,65,195,3,x1,65,25,2.6,0.7,MFC,10,395,20,7000,350,100,8,Main,F,NA,NA
The Smitty Special,35,245,7,x0.1,35,30,3.5,1.3,MFC,20,1095,20,20000,1000,100,8,Gun Runner's Arsenal,T,NA,NA
Tesla cannon,80,127.4,1.34,x2,40,37,3.2,0.1,ECP,20(4),395,8,8700,1088,100,8,Main,F,Electrical,40
Elijah's jury-rigged Tesla Cannon,85,154.2,1.58,x2,45,37,3.4,0,ECP,30(6),245,8,13500,1688,100,8,Old World Blue's,T,Electrical,40
Tesla-Beaton prototype,90,145.8,1.34,x2,45,37,3.8,0.08,ECP,24(4),195,8,12525,1566,100,8,Main,F,Electrical,50
