Weapon Name,Damage Per Shot,Damage Per Second,Rate of Fire,Critical Chance Multiplier,Critical Hit Damage,Action Point Cost,Damage Per Action Point,Weapon Spread,Ammunition Type,Magazine Capacity,Weapon Durability in Shots Until Breaking,Weapon Weight,Weapon Value in Caps,Value to Weight Ratio,Skill Required,Strength Required,Dependency,Unique?
Gauss rifle,120,45,3,x2,60,40,3,0.03,MFC,5(1),395,7,3000,429,75,5,Main,F
YCS/186,140,52.5,3,x2,70,40,3.5,0.0275,MFC,4(1),495,8,3000,375,75,5,Main,T
Holorifle,80,88.9,1.11,x1,80,30,2.67,0.4,MFC,4,495,8,3000,375,50,4,Dead Money,F
LAER,65,162.5,2.5,x1.5,15,32,2,0.08,MFC,20,370,4,8000,2000,75,4,Old World Blues,F
Elijah's advanced LAER,65,178.8,2.75,x1.5,15,32,2,0.08,MFC,15,245,4,8500,2125,75,4,Old World Blues,T
Laser RCW,15,135,9,x0.05,15,20,2.25,0.08,ECP,60,1995,4,2150,537,50,4,Main,F
Laser rifle,22,67.8,3.08,x1.5,22,18,1.22,0.025,MFC,24,620,8,800,100,25,3,Main,F
AER14 prototype,35,105,3,x2,35,20,1.75,0.0225,MFC,24(12),495,8.5,2200,259,25,3,Main,T
Van Graff laser rifle,15,46.2,3.08,x1.5,15,18,0.83,0.025,MFC,24,270,8,800,100,0,3,Main,T
Multiplas Rifle,105(35x5),105,1,x1,34,35,3,1.5,MFC,30(10),245,7,2500,357,50,4,Main,F
Plasma rifle,47,65.8,1.4,x2,47,30,1.57,0.2,MFC,24(12),370,8,1300,163,25,3,Main,F
Van Graff plasma rifle,32,44.8,1.4,x2,32,30,1.06,0.2,MFC,24(12),370,8,1300,163,0,3,Main,T
Q-35 matter modulator,40,96,2.4,x2,62,28,1.43,0.2,MFC,12,1245,7,3000,429,25,2,Main,T
Recharger rifle,12,51.1,4.3,x1.5,12,19,0.63,0.02,MF breeder,7,370,15,250,17,0,5,Main,F
Tri-beam laser rifle,66(22x3),180,2.73,x1.5,22,23,2.87,0.5,MFC,24(8),245,9,4800,533,75,4,Main,F
